id,answer
0,sci-fi
1,biografia
2,musical
3,suspense
4,romance
5,crime
6,animação
7,fantasia
8,família
9,aventura
10,ação
11,drama
12,comédia
13,"O Jim Carrey é ator, comediante, dublador, roteirista, produtor, e pintor canadense, reconhecido como um ator energético e pastelão."
14,O Jim Carrey atua em sua grande maioria em filmes de comédia.
15,Eu só sei recomendar filmes do Jim Carrey datados a partir de 1994
16,"O Jim Carrey é conhecido mundialmente pela atuação nos filmes comicos: Ace Ventura, O Máscara e o Todo Poderoso"
17,"pois bem, me descreva susintamente o tipo do filme que deseja assistir?"
18,"me desculpe, pode descrever novamente?"
19,espero que goste
20,"legal, então assista: "
21,"Olá, eu sou o Jim e sei recomendar filmes"
22,Meu nome é Jim porque sou fã do Jim Carrey
23,"Obrigado, é um prazer interagir com você"
